ClockIn,ClockOut,TimeLeft
Apr 20 8:13am,Apr 20 11:00am,5
21/04/2022 00:26:53,21/04/2022 00:26:55,0.019166666666666665h 1.15m
21/04/2022 00:42:18,21/04/2022 00:42:19,0.019166666666666665h 1.15m
21/04/2022 00:43:04,21/04/2022 00:43:12,0.019166666666666665h 1.15m
21/04/2022 00:44:30,21/04/2022 00:44:31,0.019166666666666665h 1.15m
21/04/2022 00:45:08,21/04/2022 00:45:09,0.019166666666666665h 1.15m
21/04/2022 00:46:20,21/04/2022 00:46:22,0.019166666666666665h 1.15m
21/04/2022 00:47:45,21/04/2022 00:48:52,0.019166666666666665h 1.15m
21/04/2022 00:49:51,21/04/2022 00:50:49,0.019166666666666665h 1.15m
21/04/2022 00:52:46,21/04/2022 00:53:24, 0h  0m
21/04/2022 00:53:23,21/04/2022 00:53:24, 0h  0m
